source_text,target_text
"""What type of equipment is optimal for efficiently boring holes into various materials?",DRILLS & DRIVERS
"When it comes to drilling holes, what tool should I have in my toolkit?",DRILLS & DRIVERS
Which power tool is the go-to choice for creating holes in different surfaces?,DRILLS & DRIVERS
I require a tool to swiftly fasten screws in my project. What should I choose?,DRILLS & DRIVERS
What's the recommended tool for quickly securing screws in place?,DRILLS & DRIVERS
Which power tool should I use for rapid screw tightening?,DRILLS & DRIVERS
 What power tool is best suited for the task of mounting shelves or cabinets?,DRILLS & DRIVERS
"When installing shelves or cabinets, which tool is most effective?",DRILLS & DRIVERS
"For affixing shelves or cabinets, which power tool is the top choice?",DRILLS & DRIVERS
Which tool is advisable for assembling furniture quickly and efficiently?,DRILLS & DRIVERS
"When it comes to furniture assembly, what tool should I prioritize?",DRILLS & DRIVERS
What power tool would you suggest for putting together furniture?,DRILLS & DRIVERS
What tool would you recommend for hanging pictures or artwork on the wall?,DRILLS & DRIVERS
"When hanging pictures or artwork, what power tool should I use?",DRILLS & DRIVERS
Which power tool is ideal for mounting pictures or artwork?,DRILLS & DRIVERS
What's the preferred tool for constructing a deck or fence in terms of efficiency?,DRILLS & DRIVERS
"When building a deck or fence, which tool offers the best efficiency?",DRILLS & DRIVERS
"For building a deck or fence, what power tool should I use to maximize efficiency?",DRILLS & DRIVERS
I plan to renovate my kitchen by installing new cabinets. What tool do I need?,DRILLS & DRIVERS
"When renovating a kitchen with new cabinets, what tool is essential?",DRILLS & DRIVERS
Which power tool is indispensable for kitchen cabinet installation?,DRILLS & DRIVERS
"Which tool is indispensable for DIY home repairs, such as fixing loose hinges?",DRILLS & DRIVERS
"When it comes to DIY home repairs, what's the must-have power tool?",DRILLS & DRIVERS
What power tool is essential for addressing DIY home repair tasks?,DRILLS & DRIVERS
"For electrical work like installing outlets or light fixtures, what tool is recommended?",DRILLS & DRIVERS
"When working on electrical tasks, what power tool should I utilize?",DRILLS & DRIVERS
Which power tool is preferred for electrical installations like outlets or light fixtures?,DRILLS & DRIVERS
"What type of power tool is typically used for plumbing tasks, such as tightening connections?",DRILLS & DRIVERS
"When it comes to plumbing jobs, which tool is commonly employed?",DRILLS & DRIVERS
Which power tool is commonly used for plumbing tasks like tightening connections?,DRILLS & DRIVERS
What tool should I prioritize for building a treehouse for my kids?,DRILLS & DRIVERS
"When constructing a treehouse, what tool is essential?",DRILLS & DRIVERS
Which power tool should I prioritize for building a treehouse?,DRILLS & DRIVERS
Which power tool is essential for building a raised garden bed?,DRILLS & DRIVERS
